jobHash,stored_verdict,adapter_verdict,serving_verdict,corruption_status
66779e56afb6b377,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
667bd92813713884,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
676453035f5a64fa,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
6764b3f268ab692e,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
67e15590b4464f40,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
688606f8ec6c6dcc,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
69401cd4060b8db0,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
6afa31c7480ebba7,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
6bb89157dd210354,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
6dc16d7683fe2cff,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
6f209ff371232589,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
6f8d592f4a3a3b8a,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
70e044efa41db425,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
711ea31b18b73bb3,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
726256ed215cddc1,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
72739627a4e30986,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
72ccee1ddcdc572c,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
730883bf5b6a5f6b,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
739bbee8dcc50aef,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
743fa6d6adffb660,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
7476703b51d9527d,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
74f0f1a8a9606ebc,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
75af3085e72324e3,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
7617214eae3a3057,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
76a3e57ce3d4658d,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
76dffa5a32a5debd,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
77b6804ccf6e4ca8,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
782bc239dcee4f42,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
7865ee9964d25352,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
789567938b75aa97,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
7898067a49aae688,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
78d3c31acfdd25c3,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
78f56ee691e38d14,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
79d98afc4c72636b,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
7b0bbde76e79744e,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
7b6e8c2874efb350,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
7be777afe75a7d6c,SPARSE_SPEC,SPARSE_SPEC,SPARSE_SPEC,OK
